Campo: authorized_transaction_ids, Tipo: many2many
Campo: amount_paid, Tipo: monetary
Campo: purchase_vendor_bill_id, Tipo: many2one
Campo: purchase_id, Tipo: many2one
Campo: stock_move_id, Tipo: many2one
Campo: stock_valuation_layer_ids, Tipo: one2many
Campo: transfer_model_id, Tipo: many2one
Campo: tax_closing_end_date, Tipo: date
Campo: tax_report_control_error, Tipo: boolean
Campo: team_id, Tipo: many2one
Campo: partner_shipping_id, Tipo: many2one
Campo: asset_id, Tipo: many2one
Campo: asset_asset_type, Tipo: selection
Campo: asset_remaining_value, Tipo: monetary
Campo: asset_depreciated_value, Tipo: monetary
Campo: asset_manually_modified, Tipo: boolean
Campo: asset_value_change, Tipo: boolean
Campo: asset_ids, Tipo: one2many
Campo: asset_ids_display_name, Tipo: char
Campo: asset_id_display_name, Tipo: char
Campo: number_asset_ids, Tipo: integer
Campo: draft_asset_ids, Tipo: boolean
Campo: document_request_line_id, Tipo: many2one
Campo: supplier_invoice_number, Tipo: char
Campo: nro_ctrl, Tipo: char
Campo: loc_req, Tipo: boolean
Campo: sin_cred, Tipo: boolean
Campo: date_document, Tipo: date
Campo: invoice_printer, Tipo: char
Campo: fiscal_printer, Tipo: char
Campo: z_report, Tipo: char
Campo: comment_paper, Tipo: char
Campo: paper_anu, Tipo: boolean
Campo: marck_paper, Tipo: boolean
Campo: maq_fiscal_p, Tipo: boolean
Campo: people_type_company, Tipo: selection
Campo: transport, Tipo: char
Campo: car_plate, Tipo: char
Campo: date_driver, Tipo: char
Campo: identification_driver, Tipo: char
Campo: loading_note, Tipo: char
Campo: invoice_reverse_id, Tipo: many2one
Campo: invoice_reverse_purchase_id, Tipo: many2one
Campo: invoice_affected, Tipo: char
Campo: invoice_affected_date, Tipo: date
Campo: invoice_affected_amount_bs, Tipo: float
Campo: invoice_affected_amount_usd, Tipo: float
Campo: is_manual_debit_note, Tipo: boolean
Campo: is_manual_credit_note, Tipo: boolean
Campo: partner_id_ref, Tipo: char
Campo: landed_costs_ids, Tipo: one2many
Campo: landed_costs_visible, Tipo: boolean
Campo: branch_id, Tipo: many2one
Campo: possible_payment_currency_id, Tipo: many2one
Campo: possible_payment_method, Tipo: selection
Campo: payment_foreign_currency, Tipo: boolean
Campo: igtf_invoice_amount, Tipo: monetary
Campo: igtf_invoice_amount_company_currency, Tipo: monetary
Campo: igtf_not_should_update, Tipo: boolean
Campo: igtf_move_ids, Tipo: many2many
Campo: nro_planilla_impor, Tipo: char
Campo: nro_expediente_impor, Tipo: char
Campo: fecha_importacion, Tipo: date
Campo: supplier_rank, Tipo: integer
Campo: customer_rank, Tipo: integer
Campo: rif, Tipo: char
Campo: identification_id1, Tipo: char
Campo: nationality1, Tipo: selection
Campo: people_type_individual, Tipo: selection
Campo: company_type, Tipo: selection
Campo: create_invoice, Tipo: boolean
Campo: motive_note, Tipo: char
Campo: fact_acct_rate, Tipo: float
Campo: fact_acct_ids, Tipo: one2many
Campo: fact_acct_count, Tipo: float
Campo: currency_from_id, Tipo: many2one
Campo: exchange_rate, Tipo: float
Campo: currency_date, Tipo: datetime
Campo: execute_line, Tipo: boolean
Campo: is_initial, Tipo: boolean
Campo: account_advance_ids, Tipo: one2many
Campo: sum_amount_available, Tipo: monetary
Campo: sum_amount_available_dolares, Tipo: monetary
Campo: currency_company, Tipo: many2one
Campo: foreign_currency, Tipo: many2one
Campo: anticipo_check, Tipo: boolean
Campo: status, Tipo: selection
Campo: islr_wh_doc_id, Tipo: many2one
Campo: rela_wh_iva, Tipo: many2one
Campo: wh_iva, Tipo: boolean
Campo: wh_iva_id, Tipo: many2one
Campo: vat_apply, Tipo: boolean
Campo: consolidate_vat_wh, Tipo: boolean
Campo: wh_local, Tipo: boolean
Campo: amount_muni, Tipo: monetary
Campo: timesheet_ids, Tipo: one2many
Campo: timesheet_count, Tipo: integer
Campo: timesheet_encode_uom_id, Tipo: many2one
Campo: timesheet_total_duration, Tipo: integer
Campo: isrl_ret_id, Tipo: many2one
Campo: fb_id, Tipo: many2one
Campo: issue_fb_id, Tipo: many2one
Campo: wh_muni_id, Tipo: many2one
Campo: street, Tipo: char
Campo: street2, Tipo: char
Campo: city, Tipo: char
Campo: state_name, Tipo: char
Campo: municipality, Tipo: char
Campo: analityc_tag_id, Tipo: many2one
Campo: x_studio_char_field_T1xmJ, Tipo: char
Campo: x_studio_related_field_QBjKE, Tipo: many2one
Campo: x_studio_many2many_field_lvWm2, Tipo: many2many
Campo: x_studio_usuario, Tipo: char
Campo: x_studio_related_field_N4ioD, Tipo: char
Campo: x_studio_related_field_h09ld, Tipo: char
Campo: x_studio_many2many_field_wzW0S, Tipo: many2many
Campo: x_studio_many2many_field_sn0zO, Tipo: many2many
Campo: x_studio_related_field_Z7cZI, Tipo: char
Campo: x_studio_related_field_0WThp, Tipo: char
Campo: x_studio_related_field_BmPxX, Tipo: char
Campo: x_studio_related_field_CsBHV, Tipo: integer
Campo: x_studio_char_field_XS0ci, Tipo: char
Campo: x_studio_many2one_field_7FtgO, Tipo: many2one
Campo: x_studio_related_field_jwvCV, Tipo: char
Campo: x_studio_related_field_dRqeQ, Tipo: many2one
