B-000000042,28/02/2025,None,00001,FEBRERO,0.00,1284.80,1284.80,205.57,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1284.00,1284.80,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,205.57,0.00,0.00,1284.80,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0024] Residencial FTTH 100 Mbps,ALG,1,1284.80,0.00,0,1284.80,100,,,,,,FR100,BOLIVARES,
B-000000044,28/02/2025,None,00001,FEBRERO,0.00,1927.20,1927.20,308.35,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1927.00,1927.20,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,308.35,0.00,0.00,1927.20,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0001] Residencial FTTH 400 Mbps,ALG,1,1927.20,0.00,0,1927.20,100,,,,,,FR400,BOLIVARES,
B-000000045,28/02/2025,None,00001,FEBRERO,0.00,1284.80,1284.80,205.57,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1284.00,1284.80,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,205.57,0.00,0.00,1284.80,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0024] Residencial FTTH 100 Mbps,ALG,1,1284.80,0.00,0,1284.80,100,,,,,,FR100,BOLIVARES,
B-000000047,28/02/2025,None,00001,FEBRERO,0.00,1606.00,1606.00,256.96,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1606.00,1606.00,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,256.96,0.00,0.00,1606.00,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0019] Residencial FTTH 200 Mbps,ALG,1,1606.00,0.00,0,1606.00,100,,,,,,FR200,BOLIVARES,
B-000000049,28/02/2025,None,00001,FEBRERO,0.00,1606.00,1606.00,256.96,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1606.00,1606.00,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,256.96,0.00,0.00,1606.00,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0019] Residencial FTTH 200 Mbps,ALG,1,1606.00,0.00,0,1606.00,100,,,,,,FR200,BOLIVARES,
B-000000050,28/02/2025,None,00001,FEBRERO,0.00,2569.60,2569.60,411.14,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,2569.00,2569.60,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,411.14,0.00,0.00,2569.60,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-RF-0001] Residencial Basico Plus,ALG,1,2569.60,0.00,0,2569.60,100,,,,,,False,BOLIVARES,
B-000000051,28/02/2025,None,00001,FEBRERO,0.00,1606.00,1606.00,256.96,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1606.00,1606.00,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,256.96,0.00,0.00,1606.00,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0019] Residencial FTTH 200 Mbps,ALG,1,1606.00,0.00,0,1606.00,100,,,,,,FR200,BOLIVARES,
B-000000052,28/02/2025,None,00001,FEBRERO,0.00,2503.82,2503.82,400.61,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,2503.00,2503.82,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,400.61,0.00,0.00,2503.82,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0005] Pyme FTTH 50 Mbps,ALG,1,2503.82,0.00,0,2503.82,100,,,,,,False,BOLIVARES,
B-000000053,28/02/2025,None,00001,FEBRERO,0.00,1606.00,1606.00,256.96,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1606.00,1606.00,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,256.96,0.00,0.00,1606.00,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0019] Residencial FTTH 200 Mbps,ALG,1,1606.00,0.00,0,1606.00,100,,,,,,FR200,BOLIVARES,
B-000000054,28/02/2025,None,00001,FEBRERO,0.00,1927.20,1927.20,308.35,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1927.00,1927.20,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,308.35,0.00,0.00,1927.20,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0001] Residencial FTTH 400 Mbps,ALG,1,1927.20,0.00,0,1927.20,100,,,,,,FR400,BOLIVARES,
